address,area,baths,beds,buildingtype,latitude,longitude,neighborhood,price,borough,pricearea
56 Walker Street #2,2670.0,3.5,3.0,Condo,40.71900177,-74.00319672,Tribeca,5600000.0,manhattan,2097.37827715
201 East 62nd Street #5A,2240.0,3.5,3.0,Co-op,40.76350021,-73.96479797,Lenox Hill,2595000.0,manhattan,1158.48214286
333 West 56th Street #2,820.0,1.0,1.0,Condo,40.76699829,-73.98490143,Hell's Kitchen,995000.0,manhattan,1213.41463415
330 East 38th Street #20P,884.0,1.5,1.0,Condo,40.74629974,-73.97270203,Murray Hill,1225000.0,manhattan,1385.74660633
322 West 57th Street #55U,1599.0,2.0,2.0,Condo,40.76679993,-73.98419952,Hell's Kitchen,4595000.0,manhattan,2873.6710444
408 Eighth Avenue #3C,712.0,1.0,1.0,Condo,40.74980164,-73.99479675,Midtown South,1099000.0,manhattan,1543.53932584
151 East 85th Street #12H,1646.0,2.5,2.0,Condo,40.77909851,-73.95539856,Upper East Side,3095000.0,manhattan,1880.31591738
30 Park Place #48B,1664.0,2.5,2.0,Condo,40.712783,-74.009032,Tribeca,4520000.0,manhattan,2716.34615385
438 East 12th Street #5R,1604.0,3.0,3.0,Condo,40.72900009,-73.98210144,East Village,3450000.0,manhattan,2150.87281796
80 Riverside Boulevard #9P,1850.0,3.0,3.0,Condo,40.77550125,-73.9885025,Lincoln Square,3695000.0,manhattan,1997.2972973
330 East 38th Street #7J,903.0,1.0,1.0,Condo,40.74629974,-73.97270203,Murray Hill,1270000.0,manhattan,1406.42303433
205 West End Avenue #10M,900.0,1.0,1.0,Co-op,40.7784996,-73.98660278,Lincoln Square,939000.0,manhattan,1043.33333333
161 Maiden Ln #37A,1311.0,2.0,2.0,Condo,40.70550156,-74.00479889,Financial District,3025000.0,manhattan,2307.39893211
515 East 79th Street #5B,1150.0,2.5,2.0,Co-op,40.77099991,-73.94879913,Yorkville,1250000.0,manhattan,1086.95652174
345 East 80th Street #8F,929.0,1.0,2.0,Condo,40.77349854,-73.95230103,Yorkville,1179000.0,manhattan,1269.1065662
345 East 80th Street #8E,622.0,1.0,1.0,Condo,40.77349854,-73.95230103,Yorkville,789000.0,manhattan,1268.48874598
311 West Broadway #3I,1745.0,2.5,2.0,Condo,40.7215004,-74.00370026,Soho,3500000.0,manhattan,2005.73065903
180 W 58th Street #9B,1100.0,1.0,1.0,Co-op,40.76580048,-73.97930145,Midtown,1675000.0,manhattan,1522.72727273
188 East 70th Street #6E,730.0,2.0,1.0,Condo,40.76839828,-73.96199799,Lenox Hill,1195000.0,manhattan,1636.98630137
283 East 4th Street #5A,444.0,1.0,1.0,Co-op,40.72280121,-73.98079681,East Village,450000.0,manhattan,1013.51351351
591 Third Avenue #17A,1457.0,2.0,3.0,Condo,40.74850082,-73.97589874,Murray Hill,2900000.0,manhattan,1990.39121482
591 Third Avenue #20A,1300.0,2.0,2.0,Condo,40.74850082,-73.97589874,Murray Hill,2725000.0,manhattan,2096.15384615
591 Third Avenue #19B,1151.0,2.0,2.0,Condo,40.74850082,-73.97589874,Murray Hill,2305000.0,manhattan,2002.60642919
591 Third Avenue #10A,1077.0,2.0,2.0,Condo,40.74850082,-73.97589874,Murray Hill,2100000.0,manhattan,1949.86072423
336 E 54th Street #4A,798.0,1.0,1.0,Condo,40.75659943,-73.9654007,Sutton Place,1762500.0,manhattan,2208.64661654
591 Third Avenue #3C,1111.0,2.0,2.0,Condo,40.74850082,-73.97589874,Murray Hill,1900000.0,manhattan,1710.1710171
215 West 88th Street #9F,2132.0,3.0,3.0,Condo,40.789489,-73.974971,Upper West Side,4250000.0,manhattan,1993.43339587
5 Beekman Street #47B,1572.0,2.5,2.0,Condo,40.71120071,-74.00689697,Fulton/Seaport,3975000.0,manhattan,2528.6259542
591 Third Avenue #18C,881.0,1.0,1.0,Condo,40.74850082,-73.97589874,Murray Hill,1690000.0,manhattan,1918.27468785
591 Third Avenue #15C,737.0,1.0,1.0,Condo,40.74850082,-73.97589874,Murray Hill,1505000.0,manhattan,2042.0624152
591 Third Avenue #9A,748.0,1.0,1.0,Condo,40.74850082,-73.97589874,Murray Hill,1465000.0,manhattan,1958.55614973
4 West 109th Street #5G,650.0,1.0,1.0,Co-op,40.79999924,-73.95939636,Manhattan Valley,575000.0,manhattan,884.615384615
591 Third Avenue #6A,748.0,1.0,1.0,Condo,40.74850082,-73.97589874,Murray Hill,1385000.0,manhattan,1851.60427807
591 Third Avenue #6C,782.0,1.0,1.0,Condo,40.74850082,-73.97589874,Murray Hill,1360000.0,manhattan,1739.13043478
591 Third Avenue #4D,737.0,1.0,1.0,Condo,40.74850082,-73.97589874,Murray Hill,1280000.0,manhattan,1736.77069199
15 Hubert Street #2A,2488.0,2.5,2.0,Condo,40.72119904,-74.00959778,Tribeca,4495000.0,manhattan,1806.67202572
50 Clinton Street #2D,1175.0,2.0,2.0,Condo,40.71969986,-73.98459625,Lower East Side,2425000.0,manhattan,2063.82978723
10 East End Avenue #7A,800.0,1.0,1.0,Co-op,40.77109909,-73.94819641,Yorkville,825000.0,manhattan,1031.25
460 East 79th Street #2D,525.0,1.0,1.0,Condo,40.77119827,-73.95089722,Upper East Side,665000.0,manhattan,1266.66666667
53 West 53rd Street #31A,3558.0,3.5,3.0,Condo,40.76160049,-73.97840118,Midtown,9975000.0,manhattan,2803.54131535
53 West 53rd Street #33C,2518.0,3.5,3.0,Condo,40.76160049,-73.97840118,Midtown,6995000.0,manhattan,2777.99841144
77 Reade Street #5AC,2691.0,4.0,3.0,Condo,40.71490097,-74.00749969,Tribeca,5995000.0,manhattan,2227.79635823
322 West 57th Street #41P1,1179.0,1.5,1.0,Condo,40.766799,-73.984126,Hell's Kitchen,2100000.0,manhattan,1781.17048346
80 Park Avenue #17G,850.0,1.0,1.0,Condo,40.75019836,-73.97969818,Murray Hill,1150000.0,manhattan,1352.94117647
360 Cabrini Boulevard #8D,876.0,1.0,1.0,Co-op,40.85699844,-73.93730164,Hudson Heights,798000.0,manhattan,910.95890411
53 West 53rd Street #24C,1619.0,1.5,1.0,Condo,40.76167,-73.978378,Midtown,3645000.0,manhattan,2251.38974676
515 Park Avenue #5A,2500.0,2.5,2.0,Condo,40.76319885,-73.96920013,Lenox Hill,8000000.0,manhattan,3200.0
241 West 97th Street #2L,1150.0,1.5,2.0,Condo,40.79589844,-73.97149658,Upper West Side,1595000.0,manhattan,1386.95652174
360 Cabrini Boulevard #6A,835.0,1.0,1.0,Co-op,40.85699844,-73.93730164,Hudson Heights,649000.0,manhattan,777.245508982
45 Sutton Place South #21I,1650.0,2.0,2.0,Co-op,40.75559998,-73.96140289,Sutton Place,1899000.0,manhattan,1150.90909091
226 East 95th Street #506,550.0,1.0,1.0,Co-op,40.78369904,-73.94850159,Yorkville,575000.0,manhattan,1045.45454545
70 Little West Street #7N,1356.0,2.0,2.0,Condo,40.70690155,-74.01719666,Battery Park City,1945000.0,manhattan,1434.36578171
301 West 53rd Street #22J,678.0,1.0,1.0,Condo,40.76459885,-73.98490143,Hell's Kitchen,1235000.0,manhattan,1821.5339233
226 East 32nd Street,4500.0,5.5,5.0,Townhouse,40.74380112,-73.97810364,Kips Bay,5400000.0,manhattan,1200.0
685 West End Avenue #2B,2000.0,2.0,3.0,Co-op,40.79359818,-73.97489929,Upper West Side,2625000.0,manhattan,1312.5
201 East 15th Street #2B,1000.0,1.0,2.0,Co-op,40.73400116,-73.98619843,Gramercy Park,1450000.0,manhattan,1450.0
680 West 204th Street #6B,1225.0,2.0,3.0,Co-op,40.86750031,-73.92379761,Inwood,739000.0,manhattan,603.265306122
80 Riverside Boulevard #4F,466.0,1.0,1.0,Condo,40.77550125,-73.9885025,Lincoln Square,780000.0,manhattan,1673.81974249
67 East 11th Street #521,725.0,1.0,2.0,Co-op,40.73300171,-73.99189758,Greenwich Village,1195000.0,manhattan,1648.27586207
204 Forsyth Street #3N,1549.0,2.0,2.0,Condo,40.72269821,-73.99040222,Lower East Side,3095000.0,manhattan,1998.06326662
146 East 49th Street #7D,850.0,1.0,1.0,Co-op,40.755358,-73.97213,Turtle Bay,675000.0,manhattan,794.117647059
206 East 124th Street #2B,724.0,1.5,2.0,Condo,40.80260086,-73.93579865,East Harlem,579000.0,manhattan,799.723756906
50 Bayard Street #2E,756.0,1.0,1.0,Condo,40.7154007,-73.99720001,Chinatown,880000.0,manhattan,1164.02116402
101 Warren Street #1850,1762.0,3.0,2.0,Condo,40.71569824,-74.01229858,Tribeca,4300000.0,manhattan,2440.40862656
345 East 80th Street #8EF,1551.0,2.0,3.0,Condo,40.77349854,-73.95230103,Yorkville,1968000.0,manhattan,1268.85880077
88 Greenwich Street #1609,723.0,1.0,1.0,Condo,40.707901,-74.01409912,Financial District,1249000.0,manhattan,1727.5242047
1 West End Avenue #21C,2015.0,3.5,3.0,Condo,40.772022,-73.990588,Lincoln Square,4020000.0,manhattan,1995.03722084
527 West 27th Street #3B,758.0,1.0,1.0,Condo,40.75099945,-74.00350189,West Chelsea,1960000.0,manhattan,2585.75197889
5 Beekman Street #20B,855.0,1.0,1.0,Condo,40.711196,-74.006901,Fulton/Seaport,2125000.0,manhattan,2485.38011696
80 Columbus Circle #68A,1653.0,2.5,2.0,Condo,40.76819992,-73.9822998,Lincoln Square,9300000.0,manhattan,5626.13430127
502 Park Avenue #14J,700.0,1.0,1.0,Condo,40.763307,-73.970145,Lenox Hill,1500000.0,manhattan,2142.85714286
225 West 83rd Street #6C,657.0,1.0,1.0,Condo,40.786309,-73.977258,Upper West Side,995000.0,manhattan,1514.45966514
432 Park Avenue #68B,4019.0,4.5,3.0,Condo,40.76079941,-73.97180176,Midtown,30900000.0,manhattan,7688.47972132
15 William Street #8B,791.0,1.0,1.0,Condo,40.70539856,-74.01039886,Financial District,1085000.0,manhattan,1371.68141593
80 Saint Nicholas Avenue #6B,500.0,1.0,1.0,Co-op,40.80149841,-73.95220184,South Harlem,399000.0,manhattan,798.0
35 East 38th Street #4C,775.0,1.0,1.0,Condo,40.75009918,-73.98000336,Murray Hill,1000000.0,manhattan,1290.32258065
301 East 75th Street #18D,1200.0,2.0,2.0,Co-op,40.77080154,-73.95649719,Upper East Side,1695000.0,manhattan,1412.5
421 Hudson Street #TH1,4228.0,6.5,4.0,Condo,40.729884,-74.007251,West Village,11750000.0,manhattan,2779.09176916
21 East 12th Street #5D,1006.0,1.5,1.0,Condo,40.7342,-73.992986,Greenwich Village,2450000.0,manhattan,2435.38767396
250 West 24th Street #3BE,750.0,1.0,1.0,Co-op,40.74520111,-73.99720001,Chelsea,899000.0,manhattan,1198.66666667
222 West 14th Street #2H,595.0,1.0,1.0,Condo,40.73889923,-74.001297,West Village,1000000.0,manhattan,1680.67226891
212 East 47th Street #30B,710.0,1.0,1.0,Condo,40.75329971,-73.97170258,Turtle Bay,950000.0,manhattan,1338.02816901
163 Saint Nicholas Avenue #2K,920.0,2.0,2.0,Condo,40.80540085,-73.95339966,South Harlem,978000.0,manhattan,1063.04347826
161 Maiden Ln #42A,1311.0,2.0,2.0,Condo,40.70550156,-74.00479889,Financial District,3250000.0,manhattan,2479.02364607
161 Maiden Ln #27A,973.0,1.0,1.0,Condo,40.70550156,-74.00479889,Financial District,1995000.0,manhattan,2050.35971223
161 Maiden Ln #26C,736.0,1.0,1.0,Condo,40.70550156,-74.00479889,Financial District,1680000.0,manhattan,2282.60869565
161 Maiden Ln #20C,736.0,1.0,1.0,Condo,40.70550156,-74.00479889,Financial District,1610000.0,manhattan,2187.5
501 East 79th Street #12EF,2700.0,4.0,4.0,Co-op,40.771427,-73.950021,Yorkville,2999995.0,manhattan,1111.10925926
425 East 13th Street #3A,1047.0,2.0,2.0,Condo,40.730172,-73.981893,East Village,1725000.0,manhattan,1647.56446991
100 West 93rd Street #5B,739.0,1.0,1.0,Condo,40.79079819,-73.96970367,Upper West Side,1150000.0,manhattan,1556.15696888
120 Riverside Boulevard #PH1E,774.0,1.0,1.0,Condo,40.77640152,-73.9890976,Lincoln Square,1299000.0,manhattan,1678.29457364
53 West 53rd Street #18D,2730.0,2.5,2.0,Condo,40.76160049,-73.97840118,Midtown,6100000.0,manhattan,2234.43223443
53 West 53rd Street #65,6448.0,4.5,4.0,Condo,40.76160049,-73.97840118,Midtown,43950000.0,manhattan,6816.06699752
1 West End Avenue #23A,2910.0,3.5,3.0,Condo,40.772022,-73.990588,Lincoln Square,5400000.0,manhattan,1855.67010309
106 Central Park South #14H,654.0,1.5,1.0,Condo,40.7655983,-73.97689819,Central Park South,1290000.0,manhattan,1972.47706422
111 West 67th Street #27F,1055.0,2.0,2.0,Condo,40.77470016,-73.98149872,Lincoln Square,2500000.0,manhattan,2369.66824645
111 West 67th Street #22E,3300.0,5.5,5.0,Condo,40.77470016,-73.98149872,Lincoln Square,8500000.0,manhattan,2575.75757576
300 Albany Street #5D,777.0,1.0,1.0,Condo,40.7098999,-74.01689911,Battery Park City,699000.0,manhattan,899.613899614
130 Water Street #6/L,816.0,1.0,1.0,Condo,40.70569992,-74.00730133,Financial District,989000.0,manhattan,1212.00980392
443 Greenwich Street #5G,3022.0,3.5,3.0,Condo,40.72309875,-74.00910187,Tribeca,9200000.0,manhattan,3044.3414957
41 West 70th Street,8000.0,7.0,6.0,Townhouse,40.7757988,-73.97840118,Lincoln Square,15999999.0,manhattan,1999.999875
353 East 72nd Street #17D,700.0,1.0,1.0,Co-op,40.7682991,-73.95649719,Upper East Side,769000.0,manhattan,1098.57142857
67 East 11th Street #701,800.0,1.0,1.0,Co-op,40.73300171,-73.99189758,Greenwich Village,1249000.0,manhattan,1561.25
245 Seventh Avenue #6BC,3239.0,3.5,4.0,Condo,40.74480057,-73.99479675,Chelsea,5500000.0,manhattan,1698.05495523
1 Central Park West #1222,711.0,1.0,1.0,Condo,40.76910019,-73.9815979,Lincoln Square,1390000.0,manhattan,1954.99296765
302 East 96th Street #801,522.0,1.0,1.0,Condo,40.78379822,-73.94670105,Yorkville,995000.0,manhattan,1906.1302682
14 East 4th Street #PH1122,1390.0,2.0,2.0,Condo,40.72790146,-73.99359894,Noho,3050000.0,manhattan,2194.24460432
57 Park Ter W #3H,800.0,1.0,1.0,Co-op,40.87120056,-73.91790009,Inwood,399000.0,manhattan,498.75
100 Barclay Street #27A,2975.0,4.0,3.0,Condo,40.714102,-74.012712,Tribeca,7175000.0,manhattan,2411.76470588
21 East 12th Street #10B,1629.0,2.5,2.0,Condo,40.7342,-73.992986,Greenwich Village,4800000.0,manhattan,2946.59300184
20 West Street #19G,1018.0,1.0,1.0,Condo,40.70619965,-74.01560211,Financial District,1050000.0,manhattan,1031.43418468
330 East 38th Street #23IJ,1750.0,2.5,2.0,Condo,40.74629974,-73.97270203,Murray Hill,2950000.0,manhattan,1685.71428571
49 East 21st Street #5C,1461.0,2.0,2.0,Condo,40.73929977,-73.98770142,Flatiron,2700000.0,manhattan,1848.04928131
333 West 56th Street #2,820.0,1.0,1.0,Condo,40.76699829,-73.98490143,Hell's Kitchen,995000.0,manhattan,1213.41463415
435 East 77th Street #5E,700.0,1.0,1.0,Co-op,40.77069855,-73.95220184,Upper East Side,625000.0,manhattan,892.857142857
60 Riverside Boulevard #1607,820.0,1.0,1.0,Condo,40.77569962,-73.98999786,Lincoln Square,1675000.0,manhattan,2042.68292683
